sample_id	sample_name	alias	development_phase	mechanistic_class	mechanisms_cellular	target_class	gene_symbol_1	gene_symbol_2	gene_symbol_3	gene_symbol_4	gene_symbol_5	moa1	moa2	moa3	moa4	moa5	binary_pharmacology	general_indication	cas	target_subcat	class	primary_mechanism	additional_mechanisms	mechanisms_cellular_apoptosis	mechanisms_cellular_angiogenesis	mechanisms_cellular_signal_transduction
NCGC00263219-01	Elacridar	GF-120918	Phase I	Transporter	NA	ABC transporter	ABCB1	NA	NA	NA	NA	Multidrug resistance protein 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	143664-11-3	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00274062-01	Zosuquidar	LY-335979	Phase III	Transporter	NA	ABC transporter	ABCB1	NA	NA	NA	NA	Multidrug resistance protein 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	167465-36-3	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00346448-01	Tariquidar	XR-9576	Phase III	Transporter	NA	ABC transporter	ABCB1	NA	NA	NA	NA	Multidrug resistance protein 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	206873-63-4	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00346894-01	Valspodar	NA	Phase III	Transporter	NA	ABC transporter	ABCB1	NA	NA	NA	NA	Multidrug resistance protein 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	121584-18-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00159456-06	Imatinib	STI-571	Approved	Cell signaling	Signal Transduction Modulators	Kinase	ABL1	PDGFRA	PDGFRB	KIT	ABCG2	Bcr-Abl Kinase Inhibitor	Platelet-derived growth factor receptor alpha Inhibitor	Platelet-derived Growth Factor Receptor beta Inhibitor	Mast/stem cell growth factor receptor Kit Inhibitor	ATP-binding cassette sub-family G member 2 Inhibitor	Inhibitor	Oncology	220127-57-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00181129-05	Dasatinib	BMS-354825	Approved	Cell signaling	Angiogenesis Inhibitors|Signal Transduction Modulators|	Kinase	ABL1	NA	LYN	PDGFRB	KIT	Bcr-Abl Kinase Inhibitor	Bcr-Abl (Bcr-Abl1) kinaseInhibitor	Tyrosine-protein kinase Lyn Inhibitor	Platelet-derived Growth Factor Receptor beta Inhibitor	Mast/stem cell Growth Factor Receptor Kit Inhibitor	Inhibitor	Oncology	302962-49-8	NA	NA	NA	NA	FALSE	TRUE	TRUE
NCGC00183285-04	Nilotinib	AMN-107	Approved	Cell signaling	Apoptosis Inducers|Signal Transduction Modulators|	Kinase	ABL1	DDR1	DDR2	ABL1	NA	Bcr-Abl Kinase Inhibitor	Discoidin Domain-Containing Receptor 1 Inhibitor	Epithelial discoidin domain-containing receptor 2 Inhibitor	Abl Kinase Inhibitor	NA	Inhibitor	Oncology	641571-10-0	NA	NA	NA	NA	TRUE	FALSE	TRUE
NCGC00241107-03	Bosutinib	PF-5208763	Approved	Cell signaling	Apoptosis Inducers|Signal Transduction Modulators|	Kinase	ABL1	ABL1	SRC	STAT5	CSK	Bcr-Abl Kinase Inhibitor	Bcr-Abl kinase Inhibitor	Proto-oncogene tyrosine-protein kinase Src Inhibitor	Signal transducer and activator of transcription 5 Inhibitor	Tyrosine-protein kinase CSK Inhibitor	Inhibitor	Oncology	380843-75-4	NA	NA	NA	NA	TRUE	FALSE	TRUE
NCGC00263172-01	Rebastinib	DCC-2036	Phase I/II	Cell signaling	Angiogenesis Inhibitors|Apoptosis Inducers|Signal Transduction Modulators|	Kinase	ABL1	KDR	LYN	TEK	ABL1	Bcr-Abl Kinase Inhibitor	Vascular Endothelial Growth Factor Receptor 2 Inhibitor	Tyrosine-protein kinase Lyn Inhibitor	Angiopoietin-1 Receptor Inhibitor	Tyrosine-protein kinase ABL1 Inhibitor	Inhibitor	Oncology	1020172-07-9	NA	NA	NA	NA	TRUE	TRUE	TRUE
NCGC00346514-01	Bafetinib	NA	Phase II	Cell signaling	NA	Kinase	ABL1	LYN	ABL1	FYN	NA	Bcr-Abl Kinase Inhibitor	Tyrosine-protein kinase Lyn Inhibitor	Abl1 Kinase Inhibitor	Tyrosine-protein kinase Fyn Inhibitor	NA	Inhibitor	Oncology	887650-05-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00346808-01	GNF-2	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	ABL1	ABL1	NA	NA	NA	Bcr-Abl Kinase Inhibitor	Tyrosine-protein kinase ABL1 Inhibitor	NA	NA	NA	Inhibitor	Oncology	778270-11-4	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00263235-01	ACC1 BMS	NA	Preclinical	Metabolism	NA	Mitochondria modulator	ACACA	NA	NA	NA	NA	Acetyl-CoA Carboxylase Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	2650714-87-5	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00021569-08	Enalapril	MK-421	Approved	Cell homeostasis	NA	Hydrolase	ACE	NA	NA	NA	NA	Angiotensin-I Converting Enzyme Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	76095-16-4	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00165740-04	Benazepril	NA	Approved	Cell homeostasis	NA	Hydrolase	ACE	NA	NA	NA	NA	Angiotensin-I Converting Enzyme Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	86541-74-4	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00178127-04	Ramipril	Hoe-498	Approved	Cell homeostasis	NA	Hydrolase	ACE	NA	NA	NA	NA	Angiotensin-I Converting Enzyme Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	87333-19-5	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00182037-01	Alacepril	DU-1219	Approved	Cell homeostasis	NA	Hydrolase	ACE	NA	NA	NA	NA	Angiotensin-I Converting Enzyme Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	74258-86-9	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00249389-01	LDN-193189	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	ACVR1	BMPR1A	ACVRL1	NA	NA	ALK2 Inhibitor	Bone morphogenetic protein receptor type-1A Inhibitor	Activin Receptor type-1C Inhibitor	NA	NA	Inhibitor	Oncology	1062368-62-0	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00182045-02	Pentostatin	NSC-218321	Approved	Metabolism	NA	Nucleotide metabolism	ADA	NA	NA	NA	NA	Adenosine Deaminase Inhibitor	Antimetabolite	NA	NA	NA	Inhibitor	Oncology	53910-25-1	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00263092-01	Apratastat	TMI-005	Phase II	Cell homeostasis	Angiogenesis Inhibitors|Signal Transduction Modulators|	Protease	ADAM17	TNF	NA	NA	NA	ADAM metallopeptidase domain 17 Inhibitor	TNF-alpha-Converting Enzyme Inhibitor	NA	NA	NA	Inhibitor	Oncology	287405-51-0	NA	NA	NA	NA	FALSE	TRUE	TRUE
NCGC00015646-04	Fomepizole	NA	Approved	Cell homeostasis	NA	Dehydrogenase	ADH1A	NA	NA	NA	NA	Alcohol Dehydrogenase Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	56010-88-9	NA	NA	NA	NA	FALSE	FALSE	FALSE
