Cell Line	Rank	Lowest Individual Patient Correlation	First Quartile	Median	Mean	Third Quartile	Greatest  Individual Patient Correlation	Range	Interquartile Range
ANBL6	1	0.346186663640786	0.504475287560464	0.538334217027069	0.538274049424973	0.569684839090729	0.742839118552797	0.396652454912011	0.0652095515302654
ALMC1	2	0.312409189497583	0.467988824814133	0.50697048443765	0.506934428525076	0.543551632805934	0.668728881947987	0.356319692450404	0.0755628079918009
MM1R	3	0.315542161932478	0.465066368306106	0.500148276105026	0.503469979587215	0.536464048794691	0.701305780513496	0.385763618581017	0.0713976804885846
ALMC2	4	0.315066036015898	0.457931334506726	0.49603724437973	0.498417599318644	0.535671477647813	0.678257235156146	0.363191199140247	0.0777401431410868
JK6L	5	0.305969403022628	0.460372068254397	0.498064153720218	0.496512734831731	0.531602574369694	0.678108586768679	0.372139183746051	0.0712305061152971
MM1S	6	0.312221369509731	0.45371705963089	0.489181576608167	0.493459451794243	0.526781401636568	0.692179013576257	0.379957644066526	0.0730643420056782
FLAM76	7	0.286540177263351	0.456339787820411	0.495910954111664	0.493426544741759	0.531115917502939	0.674845340177953	0.388305162914602	0.0747761296825281
DP6	8	0.277580313337354	0.444498076481934	0.486239580614851	0.489645606380891	0.535391017120379	0.714371903731768	0.436791590394414	0.0908929406384447
Karpas25	9	0.299892967475947	0.449546283872795	0.485842479553448	0.48683863080256	0.520124351730479	0.689775022228495	0.389882054752548	0.0705780678576841
MOLP2	10	0.315563667801199	0.451590973432099	0.484885779672288	0.485781890379857	0.521499906098673	0.636854096135014	0.321290428333814	0.0699089326665745
KMS34	11	0.302197734457994	0.440499165876025	0.479408780035474	0.484748917133597	0.520660939279028	0.696557575460251	0.394359841002257	0.0801617734030025
KAS61	12	0.29264443490376	0.440340613245443	0.477713079252733	0.48438025734442	0.521567872304078	0.705356332996791	0.412711898093031	0.081227259058634
KP6	13	0.286482441970652	0.440992413589491	0.478474777783895	0.482737930171095	0.518965828195889	0.678562118037064	0.392079676066411	0.0779734146063982
INA6	14	0.285205050691194	0.441847456916839	0.478732397856515	0.479021622087419	0.514409731195605	0.71137991133325	0.426174860642056	0.0725622742787657
OH2	15	0.302390945106617	0.439316789692983	0.474270784798412	0.477202696668684	0.507582796167286	0.719650209232189	0.417259264125572	0.0682660064743029
NCIH929	16	0.304824175448664	0.433137740456755	0.468933844494457	0.47517380463599	0.509457324522173	0.698534188597297	0.393710013148633	0.0763195840654182
JMW1	17	0.296399023433021	0.426161715091784	0.463294263357652	0.470827207135837	0.505803352640714	0.688594509927711	0.39219548649469	0.0796416375489299
EJM	18	0.279892701161998	0.431165659670412	0.466981286702461	0.470104869892649	0.506949399679173	0.684595331684169	0.404702630522171	0.0757837400087604
Karpas929	19	0.260323954971126	0.419820389886697	0.46384446367243	0.464793632389115	0.503980828269379	0.75460355116885	0.494279596197724	0.0841604383826816
VP6	20	0.283797491047726	0.422918493227783	0.460736204239186	0.463815343780061	0.502329257308421	0.66273886279756	0.378941371749834	0.0794107640806379
OCIMY1	21	0.263758117334149	0.426228019445282	0.464207291394669	0.46371666436822	0.499163410792854	0.662759577640197	0.399001460306048	0.0729353913475717
Karpas929.1	22	0.25997701592132	0.418254676776122	0.461460704398331	0.462585063073611	0.501659601605945	0.757288530503947	0.497311514582627	0.0834049248298229
AMO1	23	0.297220150887978	0.428457770873704	0.461082141614011	0.462040407978221	0.49171410145284	0.627019764022468	0.32979961313449	0.0632563305791353
PCM6	24	0.321278361243802	0.432323375715158	0.459654298756202	0.461858179287179	0.489511585297381	0.641818618636094	0.320540257392292	0.0571882095822228
JJN3	25	0.324393690169997	0.42641280562328	0.455852215973652	0.461816009800059	0.489699187964755	0.652898032519976	0.328504342349979	0.0632863823414752
KMS18	26	0.265206330244033	0.420618677807241	0.458674888488943	0.461648078735096	0.497883074247691	0.672625156113298	0.407418825869265	0.0772643964404502
H1112	27	0.276472317908272	0.423881076203293	0.459940339534158	0.461526105643167	0.499915138737669	0.640707505497663	0.364235187589391	0.0760340625343756
OCIMY7	28	0.291555891334263	0.424156012989251	0.460414984528627	0.459761910408137	0.493181900471442	0.64074404404596	0.349188152711697	0.0690258874821907
Karpas417	29	0.269763226387236	0.415712756262464	0.455563859045845	0.458310376712375	0.496319462384503	0.699187069582489	0.429423843195253	0.0806067061220389
Karpas620	30	0.331281254650865	0.426390325354713	0.456104264694666	0.458194546795846	0.484983383389482	0.612683047567856	0.28140179291699	0.0585930580347686
SKMM2	31	0.251602190243549	0.417108263942742	0.458341210143866	0.45753395663853	0.499715117677097	0.668063669856073	0.416461479612524	0.0826068537343557
KMS12PE	32	0.278119862922756	0.416868578150568	0.455772474758862	0.457068957383696	0.493209557039385	0.652481107693057	0.3743612447703	0.0763409788888171
XG1	33	0.271855692103558	0.418516326468973	0.455685346531973	0.456739366328362	0.492953785122653	0.641892600989049	0.370036908885491	0.0744374586536793
XG6	34	0.257300458396418	0.415158583910021	0.453284820026211	0.456581662925383	0.498858663958534	0.677852806155979	0.420552347759562	0.0837000800485125
KMS20	35	0.294166850974412	0.419045206488895	0.452649511005981	0.456429439110497	0.490036228459113	0.634860221174811	0.340693370200399	0.0709910219702186
L363	36	0.248698555552202	0.419484039864262	0.45687515175811	0.456177996954913	0.493386531301581	0.621874986324485	0.373176430772283	0.0739024914373191
PE2	37	0.259048005356274	0.409431721688845	0.44809295381853	0.45369311548601	0.491680022903595	0.674467099536861	0.415419094180587	0.0822483012147503
KMS26	38	0.259414036161159	0.410634576329391	0.448729897636443	0.451773685674116	0.48949268288185	0.63344653849071	0.374032502329552	0.0788581065524591
PE1	39	0.245977906965779	0.408852155531201	0.452743950102095	0.451162442228864	0.493243129196905	0.690138970513186	0.444161063547407	0.0843909736657035
KMS28BM	40	0.257735238108784	0.406333801963972	0.445785396379146	0.451018234490591	0.490178579877025	0.670398036163853	0.412662798055069	0.0838447779130531
LP1	41	0.266640276073658	0.407621017116809	0.443331912505274	0.450652421291287	0.485128673809614	0.673845725534069	0.407205449460411	0.0775076566928047
OCIMY5	42	0.292505869124696	0.415740573878772	0.448048178500019	0.450156990574323	0.478635802222105	0.630889300729323	0.338383431604627	0.0628952283433327
KMS27	43	0.282101921127119	0.413760129768963	0.446898479274325	0.448193686024645	0.478726912827194	0.619005882649411	0.336903961522291	0.0649667830582312
KMS28PE	44	0.254163081663125	0.405636343989603	0.443135301702555	0.44608050903864	0.483136388750006	0.652553437190491	0.398390355527366	0.0775000447604021
JIM3	45	0.291805998037844	0.406252430428262	0.442247700702264	0.445481042206069	0.47732672981068	0.626866686984819	0.335060688946975	0.0710742993824177
XG2	46	0.251647400644521	0.404008225052171	0.441789622054293	0.444926820766889	0.485703762819262	0.682986427356274	0.431339026711753	0.0816955377670915
KMS12BM	47	0.273293918598962	0.40779144155797	0.441929259010407	0.443542922524188	0.476978201823255	0.617492976490983	0.344199057892021	0.0691867602652851
RPMI8226	48	0.312727882555307	0.405432888538567	0.439146492828709	0.442992017925376	0.472486202388068	0.623330094780643	0.310602212225335	0.0670533138495008
XG7	49	0.279956465142878	0.394357151727021	0.433680026872589	0.442159638991248	0.480793865559523	0.677741150945041	0.397784685802163	0.0864367138325012
COLO677	50	0.308043340999001	0.401527871452756	0.436971436527202	0.439589481019692	0.46762462125001	0.629423212629104	0.321379871630103	0.0660967497972543
KMS21BM	51	0.264493818475868	0.400703139466822	0.434113828120963	0.436534971676855	0.471491050128631	0.645432309224	0.380938490748132	0.0707879106618092
KMS11_Adh	52	0.284263609584795	0.393839132444315	0.428432632699543	0.435369803749757	0.468550843057778	0.647504365127564	0.363240755542769	0.0747117106134635
KMS11_Sus	53	0.267988164400784	0.390150907312249	0.428845571573701	0.434161666505043	0.467325988953755	0.647270363951261	0.379282199550477	0.077175081641506
U266	54	0.24622319740901	0.39844070869516	0.433310495342836	0.43376350507611	0.469879944475969	0.59860101884076	0.35237782143175	0.0714392357808087
KHM1B	55	0.241633285693819	0.391531722450793	0.429004049695524	0.430926342579798	0.469614973829615	0.672677476477693	0.431044190783873	0.0780832513788218
OPM2	56	0.220027671288572	0.378810373284404	0.420029340861469	0.423886733088001	0.46364540045239	0.62514183544388	0.405114164155308	0.0848350271679864
MOLP8	57	0.251184247923095	0.382240941985317	0.415146506873065	0.419050713330757	0.457318933730909	0.656757075761723	0.405572827838628	0.0750779917455925
Delta47	58	0.263611056165502	0.381138307510935	0.416000959370182	0.41763375714608	0.451837179242734	0.639585984824284	0.375974928658783	0.0706988717317995
JIM1	59	0.235067135612341	0.370169581671673	0.409102085362576	0.413306027663622	0.452442013058005	0.619055336585765	0.383988200973425	0.0822724313863314
UTMC2	60	0.20100659858874	0.360574797497241	0.401120250122888	0.405995526792902	0.445366230873434	0.629727556445588	0.428720957856848	0.0847914333761929
KHM11	61	0.236364626684287	0.361063042625833	0.398079126539585	0.402793929663649	0.442048250678405	0.624040158867352	0.387675532183066	0.0809852080525717
SKMM1	62	0.212825023634068	0.358801706478801	0.39814516473024	0.400541338726211	0.439112070322288	0.625321034044878	0.41249601041081	0.0803103638434867
OPM1	63	0.210124128094833	0.351118082633004	0.391923351959687	0.396465026525701	0.437970313756861	0.610490182748877	0.400366054654044	0.0868522311238571
KMM1	64	0.208635125981451	0.355345074698517	0.391699174298358	0.393186198927416	0.430511550512125	0.573855995709873	0.365220869728422	0.0751664758136082
FR4	65	0.203299567394431	0.326853139977601	0.362984467484557	0.365298372761763	0.401411714889021	0.572671241844786	0.369371674450355	0.0745585749114201
